candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,net_correct_pairs,n_questions
matched_full_all,matched_full_global_structure,accuracy,0.01000000,-0.00918750,0.03000000,0.82060000,6,0,12.00000000,10
matched_full_all,matched_full_global_structure,spearman,0.02264706,-0.02000000,0.07030147,0.82980000,6,0,,10
matched_full_all,matched_full_global_structure,kendall,0.02000000,-0.01837500,0.06166667,0.84980000,6,0,,10
criterion_only_all,matched_full_global_structure,accuracy,0.01250000,-0.00250000,0.03250000,0.91460000,6,2,15.00000000,10
criterion_only_all,matched_full_global_structure,spearman,0.04352941,0.00529412,0.09294118,0.99100000,6,1,,10
criterion_only_all,matched_full_global_structure,kendall,0.02500000,-0.00666667,0.06666667,0.92180000,6,2,,10
criterion_only_all,matched_full_all,accuracy,0.00250000,-0.01000000,0.01500000,0.62900000,4,2,3.00000000,10
criterion_only_all,matched_full_all,spearman,0.02088235,-0.01735294,0.05470588,0.86680000,7,0,,10
criterion_only_all,matched_full_all,kendall,0.00500000,-0.01833333,0.02833333,0.62780000,4,2,,10
matched_full_global_rubric,matched_full_global,accuracy,0.01583333,-0.00750000,0.04416667,0.87840000,7,0,19.00000000,10
matched_full_global_rubric,matched_full_global,spearman,0.02029412,-0.03823529,0.09265441,0.70340000,6,0,,10
matched_full_global_rubric,matched_full_global,kendall,0.03166667,-0.01500000,0.09000000,0.87900000,7,0,,10
matched_full_rubric,criterion_only_rubric,accuracy,-0.06000000,-0.10333333,-0.01333333,0.00380000,2,0,-72.00000000,10
matched_full_rubric,criterion_only_rubric,spearman,-0.15647059,-0.25176471,-0.05617647,0.00040000,3,0,,10
matched_full_rubric,criterion_only_rubric,kendall,-0.12000000,-0.20833333,-0.02833333,0.00460000,2,0,,10
matched_full_rubric,prompt_only_rubric,accuracy,0.02083333,-0.03500000,0.07750000,0.74980000,6,0,25.00000000,10
matched_full_rubric,prompt_only_rubric,spearman,0.03676471,-0.10970588,0.19118382,0.68880000,6,0,,10
matched_full_rubric,prompt_only_rubric,kendall,0.04166667,-0.07166667,0.15500000,0.75880000,6,0,,10
matched_full_rubric,generic_dimension_rubric,accuracy,0.03916667,-0.01500000,0.09666667,0.91460000,7,0,47.00000000,10
matched_full_rubric,generic_dimension_rubric,spearman,0.07647059,-0.06883088,0.22352941,0.84640000,6,0,,10
matched_full_rubric,generic_dimension_rubric,kendall,0.07833333,-0.03166667,0.19333333,0.91700000,7,0,,10
matched_full_rubric,matched_full_no_instruction_rubric,accuracy,0.00666667,-0.03000000,0.04416667,0.62560000,5,0,8.00000000,10
matched_full_rubric,matched_full_no_instruction_rubric,spearman,-0.00823529,-0.09352941,0.07823529,0.42160000,5,0,,10
matched_full_rubric,matched_full_no_instruction_rubric,kendall,0.01333333,-0.06000000,0.09000000,0.64260000,5,0,,10
matched_full_rubric,mismatched_ensemble_rubric,accuracy,0.03250000,0.00414583,0.06083333,0.98640000,8,0,39.00000000,10
matched_full_rubric,mismatched_ensemble_rubric,spearman,0.05823529,-0.01852941,0.13058824,0.93380000,7,0,,10
matched_full_rubric,mismatched_ensemble_rubric,kendall,0.06500000,0.01000000,0.11833333,0.99160000,8,0,,10
matched_full_all,generic_dimension_all,accuracy,0.00500000,-0.01583333,0.02500000,0.67560000,6,0,6.00000000,10
matched_full_all,generic_dimension_all,spearman,0.00352941,-0.04411765,0.04970588,0.57000000,6,0,,10
matched_full_all,generic_dimension_all,kendall,0.01000000,-0.03166667,0.05000000,0.70420000,6,0,,10
matched_full_all,mismatched_ensemble_all,accuracy,0.01166667,-0.00666667,0.03166667,0.88540000,5,2,14.00000000,10
matched_full_all,mismatched_ensemble_all,spearman,0.01176471,-0.02000735,0.04617647,0.74040000,5,0,,10
matched_full_all,mismatched_ensemble_all,kendall,0.02333333,-0.01166667,0.06333333,0.90280000,5,2,,10
