model,query_source,feature_set,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
matched_full_global,matched_full,global,3,readability,1000.00000000,0.69722222,0.52602297,0.72791521,1024,144,16
matched_full_global,matched_full,global,4,comprehensiveness,10.00000000,0.59814815,0.28679971,0.96264173,1024,144,16
matched_full_global,matched_full,global,4,insight,1000.00000000,0.64907407,0.44193397,1.03605761,1024,144,16
matched_full_global,matched_full,global,4,instruction_following,100.00000000,0.53981481,0.20731336,1.07545783,1024,144,16
matched_full_global,matched_full,global,4,readability,1000.00000000,0.71018519,0.56687403,0.73026861,1024,144,16
matched_full_global,matched_full,global,5,comprehensiveness,10.00000000,0.60555556,0.28598407,0.97708209,1024,144,16
matched_full_global,matched_full,global,5,insight,1000.00000000,0.68518519,0.52462843,0.95013852,1024,144,16
matched_full_global,matched_full,global,5,instruction_following,100.00000000,0.50925926,0.19296666,0.94059899,1024,144,16
matched_full_global,matched_full,global,5,readability,1000.00000000,0.72222222,0.60028454,0.75864593,1024,144,16
matched_full_global,matched_full,global,6,comprehensiveness,1.00000000,0.60740741,0.30507241,0.95132093,1024,144,16
matched_full_global,matched_full,global,6,insight,1000.00000000,0.67407407,0.50873741,0.92943452,1024,144,16
matched_full_global,matched_full,global,6,instruction_following,1.00000000,0.54629630,0.26561858,1.24588913,1024,144,16
matched_full_global,matched_full,global,6,readability,1000.00000000,0.68981481,0.52102258,0.76232171,1024,144,16
matched_full_global,matched_full,global,7,comprehensiveness,1.00000000,0.60833333,0.30698615,0.84483703,1024,144,16
matched_full_global,matched_full,global,7,insight,1000.00000000,0.66851852,0.48411176,0.94898757,1024,144,16
matched_full_global,matched_full,global,7,instruction_following,100.00000000,0.49814815,0.10551238,0.81236170,1024,144,16
matched_full_global,matched_full,global,7,readability,1000.00000000,0.68148148,0.49841004,0.74141689,1024,144,16
matched_full_global,matched_full,global,16,comprehensiveness,100.00000000,0.61851852,0.33809527,0.68552776,1024,144,16
matched_full_global,matched_full,global,16,insight,100.00000000,0.68148148,0.51951445,1.06750696,1024,144,16
matched_full_global,matched_full,global,16,instruction_following,1000.00000000,0.55000000,0.24642540,0.77564768,1024,144,16
matched_full_global,matched_full,global,16,readability,1000.00000000,0.69351852,0.51119484,0.73015588,1024,144,16
matched_full_global,matched_full,global,17,comprehensiveness,10.00000000,0.61574074,0.34034723,0.75107842,1024,144,16
matched_full_global,matched_full,global,17,insight,1000.00000000,0.64814815,0.43095626,1.00992738,1024,144,16
matched_full_global,matched_full,global,17,instruction_following,100.00000000,0.52685185,0.18368308,1.14910256,1024,144,16
matched_full_global,matched_full,global,17,readability,1000.00000000,0.66851852,0.44381624,0.74279037,1024,144,16
matched_full_global,matched_full,global,18,comprehensiveness,10.00000000,0.60185185,0.30194312,0.74785666,1024,144,16
matched_full_global,matched_full,global,18,insight,1000.00000000,0.68518519,0.52659602,1.06729649,1024,144,16
matched_full_global,matched_full,global,18,instruction_following,10.00000000,0.60740741,0.42444667,1.58624163,1024,144,16
matched_full_global,matched_full,global,18,readability,1000.00000000,0.70740741,0.53945295,0.74315679,1024,144,16
matched_full_rubric,matched_full,rubric,1,comprehensiveness,10.00000000,0.68240741,0.48028854,0.61965718,31,144,16
matched_full_rubric,matched_full,rubric,1,insight,10.00000000,0.59074074,0.29322327,1.05252300,31,144,16
matched_full_rubric,matched_full,rubric,1,instruction_following,100.00000000,0.58148148,0.35753072,0.80670786,31,144,16
matched_full_rubric,matched_full,rubric,1,readability,100.00000000,0.69259259,0.51711957,0.71710194,31,144,16
matched_full_rubric,matched_full,rubric,2,comprehensiveness,10.00000000,0.67685185,0.48191185,0.61213321,31,144,16
matched_full_rubric,matched_full,rubric,2,insight,10.00000000,0.61481481,0.35021044,1.00451660,31,144,16
matched_full_rubric,matched_full,rubric,2,instruction_following,0.01000000,0.58518519,0.39164734,0.89442325,31,144,16
matched_full_rubric,matched_full,rubric,2,readability,1000.00000000,0.66574074,0.45976133,0.73004770,31,144,16
matched_full_rubric,matched_full,rubric,3,comprehensiveness,10.00000000,0.68425926,0.50509534,0.58645675,31,144,16
matched_full_rubric,matched_full,rubric,3,insight,10.00000000,0.60277778,0.31895283,0.97249765,31,144,16
matched_full_rubric,matched_full,rubric,3,instruction_following,10.00000000,0.60925926,0.43268161,0.75311145,31,144,16
matched_full_rubric,matched_full,rubric,3,readability,100.00000000,0.68703704,0.51496121,0.79597140,31,144,16
matched_full_rubric,matched_full,rubric,4,comprehensiveness,10.00000000,0.65925926,0.44235408,0.57835992,31,144,16
matched_full_rubric,matched_full,rubric,4,insight,10.00000000,0.58703704,0.27348654,1.05172261,31,144,16
matched_full_rubric,matched_full,rubric,4,instruction_following,100.00000000,0.56851852,0.31481534,0.78162568,31,144,16
matched_full_rubric,matched_full,rubric,4,readability,100.00000000,0.69351852,0.52357133,0.79435887,31,144,16
matched_full_rubric,matched_full,rubric,5,comprehensiveness,10.00000000,0.65740741,0.44735785,0.57069952,31,144,16
matched_full_rubric,matched_full,rubric,5,insight,100.00000000,0.61111111,0.34037899,0.99656326,31,144,16
matched_full_rubric,matched_full,rubric,5,instruction_following,10.00000000,0.61111111,0.43864353,0.75044613,31,144,16
matched_full_rubric,matched_full,rubric,5,readability,100.00000000,0.71388889,0.57969175,0.70891491,31,144,16
matched_full_rubric,matched_full,rubric,6,comprehensiveness,10.00000000,0.67314815,0.48240436,0.58983254,31,144,16
matched_full_rubric,matched_full,rubric,6,insight,10.00000000,0.60740741,0.33862445,1.09400000,31,144,16
matched_full_rubric,matched_full,rubric,6,instruction_following,100.00000000,0.59444444,0.37361600,0.72480864,31,144,16
matched_full_rubric,matched_full,rubric,6,readability,100.00000000,0.68055556,0.47937663,0.80788403,31,144,16
matched_full_rubric,matched_full,rubric,7,comprehensiveness,10.00000000,0.66111111,0.43214098,0.58611114,31,144,16
matched_full_rubric,matched_full,rubric,7,insight,0.01000000,0.59444444,0.28153885,1.13392961,31,144,16
matched_full_rubric,matched_full,rubric,7,instruction_following,100.00000000,0.58518519,0.34874731,0.69322558,31,144,16
matched_full_rubric,matched_full,rubric,7,readability,1000.00000000,0.66759259,0.46607662,0.74539710,31,144,16
