candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,n_questions
matched_full_all,matched_full_global_structure,alignment_accuracy,0.03000000,-0.01917708,0.08709375,0.87000000,6,0,10
matched_full_all,matched_full_global_structure,accuracy_comprehensiveness,0.00250000,-0.02083333,0.02502083,0.55860000,5,1,10
matched_full_all,matched_full_global_structure,accuracy_instruction_following,0.05750000,-0.03750000,0.17252083,0.84800000,5,1,10
matched_full_all,matched_full_global_structure,alignment_spearman,0.07260422,-0.02407331,0.17598354,0.92940000,7,0,10
matched_full_all,matched_full_global_structure,spearman_comprehensiveness,0.01636948,-0.04955903,0.07847784,0.69780000,6,0,10
matched_full_all,matched_full_global_structure,spearman_instruction_following,0.12892825,-0.06355878,0.33640256,0.89860000,6,0,9
criterion_only_all,matched_full_global_structure,alignment_accuracy,0.04208333,-0.01083333,0.11333333,0.92460000,6,0,10
criterion_only_all,matched_full_global_structure,accuracy_comprehensiveness,0.01333333,-0.01750000,0.04416667,0.79900000,5,0,10
criterion_only_all,matched_full_global_structure,accuracy_instruction_following,0.07083333,-0.02500000,0.20750000,0.87780000,6,2,10
criterion_only_all,matched_full_global_structure,alignment_spearman,0.07415090,0.00015689,0.15339554,0.97540000,7,0,10
criterion_only_all,matched_full_global_structure,spearman_comprehensiveness,0.03579971,-0.03893985,0.10830908,0.81520000,6,0,10
criterion_only_all,matched_full_global_structure,spearman_instruction_following,0.08657109,-0.00019888,0.19901085,0.97480000,7,0,9
criterion_only_all,matched_full_all,alignment_accuracy,0.01208333,-0.05583333,0.08875000,0.62660000,5,1,10
criterion_only_all,matched_full_all,accuracy_comprehensiveness,0.01083333,-0.01833333,0.03916667,0.77420000,6,0,10
criterion_only_all,matched_full_all,accuracy_instruction_following,0.01333333,-0.13666667,0.17835417,0.54920000,5,0,10
criterion_only_all,matched_full_all,alignment_spearman,0.00154668,-0.07324979,0.08014902,0.50620000,5,0,10
criterion_only_all,matched_full_all,spearman_comprehensiveness,0.01943023,-0.04459430,0.08193300,0.72860000,6,0,10
criterion_only_all,matched_full_all,spearman_instruction_following,-0.04235716,-0.20559128,0.12183469,0.31280000,4,0,9
matched_full_global_rubric,matched_full_global,alignment_accuracy,0.06250000,-0.01125000,0.14833333,0.94880000,7,0,10
matched_full_global_rubric,matched_full_global,accuracy_comprehensiveness,0.01000000,-0.02916667,0.05335417,0.65680000,4,1,10
matched_full_global_rubric,matched_full_global,accuracy_instruction_following,0.11500000,-0.00583333,0.25833333,0.96580000,6,0,10
matched_full_global_rubric,matched_full_global,alignment_spearman,0.09038312,-0.01606144,0.20435991,0.95200000,6,0,10
matched_full_global_rubric,matched_full_global,spearman_comprehensiveness,0.03390516,-0.07038903,0.15399318,0.69260000,5,1,10
matched_full_global_rubric,matched_full_global,spearman_instruction_following,0.12413969,-0.03028085,0.29505338,0.94000000,6,0,9
matched_full_rubric,criterion_only_rubric,alignment_accuracy,0.01583333,-0.06167708,0.08958333,0.64880000,5,0,10
matched_full_rubric,criterion_only_rubric,accuracy_comprehensiveness,-0.01083333,-0.05583333,0.03918750,0.32200000,4,0,10
matched_full_rubric,criterion_only_rubric,accuracy_instruction_following,0.04250000,-0.07668750,0.15250000,0.75720000,6,0,10
matched_full_rubric,criterion_only_rubric,alignment_spearman,0.07448796,-0.11330121,0.25621999,0.77900000,5,0,10
matched_full_rubric,criterion_only_rubric,spearman_comprehensiveness,-0.02938559,-0.14813529,0.09674609,0.31500000,4,0,10
matched_full_rubric,criterion_only_rubric,spearman_instruction_following,0.17836151,-0.09531023,0.43229150,0.90480000,6,0,10
matched_full_rubric,prompt_only_rubric,alignment_accuracy,0.02125000,-0.03291667,0.07209375,0.79440000,5,0,10
matched_full_rubric,prompt_only_rubric,accuracy_comprehensiveness,0.03666667,-0.02416667,0.09833333,0.87620000,6,0,10
matched_full_rubric,prompt_only_rubric,accuracy_instruction_following,0.00583333,-0.06500000,0.06750000,0.57460000,7,0,10
matched_full_rubric,prompt_only_rubric,alignment_spearman,0.08290400,-0.06170192,0.21555960,0.88400000,7,0,10
