model,spearman,kendall,accuracy,n_questions,n_documents,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability,mae_comprehensiveness,rmse_comprehensiveness,mae_insight,rmse_insight,mae_instruction_following,rmse_instruction_following,mae_readability,rmse_readability,mae,rmse
all_capped,0.54029412,0.40000000,0.70000000,10.00000000,160.00000000,1200.00000000,0.35286857,0.26481172,0.62750000,0.51537768,0.38321229,0.67500000,0.30026615,0.21715985,0.55583333,0.54275556,0.39271702,0.69333333,0.67904408,0.88064388,0.96019250,1.19556726,0.98858658,1.23951350,0.66599712,0.88416071,0.62848845,0.76858442
all_unbounded,0.54529412,0.40166667,0.70083333,10.00000000,160.00000000,1200.00000000,0.41951816,0.31489539,0.65250000,0.52918098,0.39485065,0.68083333,0.31633854,0.24596326,0.49666667,0.58851391,0.44283555,0.71833333,0.62385753,0.81565655,0.96925021,1.20950987,0.92118221,1.17881944,0.65772029,0.87724746,0.61668264,0.76468456
global_capped,0.43941176,0.31833333,0.65916667,10.00000000,160.00000000,1200.00000000,0.34740494,0.27088466,0.63000000,0.47681757,0.36116894,0.66416667,0.19111495,0.14138325,0.49250000,0.41723425,0.30405462,0.64916667,0.76435256,0.95887894,0.97581222,1.21488647,1.41278036,1.74658356,0.80897744,1.04342910,0.72226911,0.87550398
global_unbounded,0.45941176,0.32500000,0.66250000,10.00000000,160.00000000,1200.00000000,0.34467882,0.24403085,0.61666667,0.48997181,0.36642256,0.66666667,0.17164594,0.11124364,0.43916667,0.55348151,0.41603549,0.70500000,0.85282655,1.10049785,1.12935816,1.45957547,1.29516355,1.64568174,0.76105131,0.98934655,0.72497897,0.90613204
mean_loqo,,,0.00000000,10.00000000,160.00000000,1200.00000000,,,0.00833333,,,0.02833333,,,0.08416667,,,0.00500000,0.61216363,0.81291161,1.02037613,1.27212761,0.71356589,0.94939885,0.78339748,1.02927645,0.64775783,0.82112541
rubric_capped,0.44882353,0.32833333,0.66416667,10.00000000,160.00000000,1200.00000000,0.37678478,0.29853846,0.64416667,0.27439086,0.19715063,0.57583333,0.38303304,0.29802202,0.59000000,0.51936760,0.38435617,0.68916667,0.58974929,0.77360899,1.08347983,1.34363206,0.73346003,0.97183534,0.72813423,1.00242691,0.63030485,0.79722277
rubric_structure_capped,0.50294118,0.37333333,0.68666667,10.00000000,160.00000000,1200.00000000,0.35317572,0.28156851,0.63583333,0.40900167,0.29893009,0.63333333,0.39579747,0.29176093,0.57666667,0.57630058,0.41445410,0.70416667,0.60122467,0.79417961,0.99501463,1.26250401,0.78749172,1.05364554,0.70570944,0.93242818,0.62683704,0.78208438
rubric_structure_unbounded,0.54235294,0.41000000,0.70500000,10.00000000,160.00000000,1200.00000000,0.39349850,0.29499385,0.64250000,0.41805650,0.29746136,0.63250000,0.36168812,0.27459177,0.56750000,0.58130241,0.42614863,0.71000000,0.59912456,0.79781798,0.99477787,1.26751887,0.77545067,1.04101484,0.68659258,0.91994584,0.64020584,0.80280592
rubric_unbounded,0.40970588,0.30833333,0.65416667,10.00000000,160.00000000,1200.00000000,0.43716530,0.33161374,0.66083333,0.20739253,0.15263088,0.56083333,0.34914316,0.26421872,0.56416667,0.54040382,0.39104336,0.69250000,0.57802850,0.76197566,1.10980209,1.36737083,0.73604733,0.97439581,0.74679274,1.00376170,0.64029933,0.79088349
structure,0.45470588,0.33500000,0.66750000,10.00000000,160.00000000,1200.00000000,0.28768265,0.21796983,0.60416667,0.46889913,0.34774956,0.65750000,-0.04883439,-0.03609032,0.43750000,0.55924121,0.39275921,0.69333333,0.59985399,0.78465855,0.90851547,1.16030973,0.81793353,1.08427528,0.69918477,0.90919261,0.59577099,0.75786977
