model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
mean_loqo,1,16,,,0.00000000,0,120,,,0.00000000,,,0.00000000,,,0.06666667,,,0.00000000
mean_loqo,2,16,,,0.00000000,0,120,,,0.00000000,,,0.00000000,,,0.02500000,,,0.00000000
mean_loqo,3,16,,,0.00000000,0,120,,,0.00833333,,,0.00833333,,,0.05000000,,,0.00833333
mean_loqo,4,16,,,0.00000000,0,120,,,0.00000000,,,0.00833333,,,0.17500000,,,0.01666667
mean_loqo,5,16,,,0.00000000,0,120,,,0.00833333,,,0.08333333,,,0.02500000,,,0.00000000
mean_loqo,6,16,,,0.00000000,0,120,,,0.00000000,,,0.00000000,,,0.03333333,,,0.00000000
mean_loqo,7,16,,,0.00000000,0,120,,,0.01666667,,,0.08333333,,,0.17500000,,,0.00833333
mean_loqo,16,16,,,0.00000000,0,120,,,0.00833333,,,0.01666667,,,0.23333333,,,0.00000000
mean_loqo,17,16,,,0.00000000,0,120,,,0.03333333,,,0.08333333,,,0.03333333,,,0.00833333
mean_loqo,18,16,,,0.00000000,0,120,,,0.00833333,,,0.00000000,,,0.02500000,,,0.00833333
structure,1,16,0.41470588,0.28333333,0.64166667,77,120,-0.05000000,-0.01666667,0.49166667,0.42058824,0.30000000,0.65000000,-0.01483738,-0.01725164,0.45833333,0.48823529,0.30000000,0.65000000
structure,2,16,0.65294118,0.51666667,0.75833333,91,120,0.45000000,0.30000000,0.65000000,0.56470588,0.43333333,0.71666667,0.33628465,0.24474535,0.60833333,0.45588235,0.28333333,0.64166667
structure,3,16,0.34117647,0.23333333,0.61666667,74,120,0.08388523,0.09205101,0.54166667,0.52538646,0.34309924,0.66666667,-0.05497826,-0.04329369,0.44166667,0.67696854,0.47699162,0.73333333
structure,4,16,0.72352941,0.50000000,0.75000000,90,120,0.51764706,0.36666667,0.68333333,0.70787363,0.51046472,0.75000000,0.16272681,0.11927107,0.46666667,0.61266635,0.45379754,0.71666667
structure,5,16,0.10588235,0.06666667,0.53333333,64,120,0.28403245,0.20920685,0.60000000,0.00892249,0.00000000,0.45833333,-0.07374663,-0.04219747,0.46666667,0.31176471,0.21666667,0.60833333
structure,6,16,0.49705882,0.30000000,0.65000000,78,120,0.19117647,0.11666667,0.55833333,0.44411765,0.35000000,0.67500000,0.10774981,0.06780635,0.51666667,0.67647059,0.53333333,0.76666667
structure,7,16,0.31176471,0.23333333,0.61666667,74,120,0.18262170,0.11765121,0.55000000,0.28958450,0.19148542,0.55000000,-0.11360174,-0.08257228,0.37500000,0.62987508,0.44351853,0.71666667
structure,16,16,0.55000000,0.45000000,0.72500000,87,120,0.38704941,0.30962614,0.65000000,0.85125276,0.68909996,0.83333333,-0.24029962,-0.17576248,0.28333333,0.59411765,0.43333333,0.71666667
structure,17,16,0.81764706,0.66666667,0.83333333,100,120,0.63173862,0.52549922,0.74166667,0.80008912,0.62667956,0.75833333,-0.39705067,-0.28817699,0.34166667,0.69168525,0.49372817,0.74166667
structure,18,16,0.13235294,0.10000000,0.55000000,66,120,0.19867555,0.15899721,0.57500000,0.07647059,0.03333333,0.51666667,-0.20059084,-0.14347141,0.41666667,0.45474626,0.29288959,0.64166667
global_capped,1,16,0.46764706,0.33333333,0.66666667,80,120,0.43823529,0.30000000,0.65000000,0.67058824,0.53333333,0.76666667,-0.11721533,-0.08625819,0.42500000,0.55588235,0.40000000,0.70000000
global_capped,2,16,0.43823529,0.33333333,0.66666667,80,120,0.64705882,0.50000000,0.75000000,0.42352941,0.35000000,0.67500000,0.43068034,0.31226130,0.64166667,0.63529412,0.46666667,0.73333333
global_capped,3,16,0.26470588,0.15000000,0.57500000,69,120,0.30169250,0.27615304,0.63333333,0.23105231,0.12552411,0.55833333,0.06815002,0.01709964,0.48333333,-0.00588668,-0.00836827,0.49166667
global_capped,4,16,0.61470588,0.41666667,0.70833333,85,120,0.40294118,0.26666667,0.63333333,0.86681407,0.71130330,0.85000000,0.42063346,0.32111443,0.55833333,0.37407993,0.28572437,0.63333333
global_capped,5,16,0.04117647,0.03333333,0.51666667,62,120,-0.01618838,-0.02510482,0.48333333,0.09666029,0.05222330,0.48333333,0.10161979,0.09291578,0.44166667,0.16176471,0.11666667,0.55833333
global_capped,6,16,0.47058824,0.28333333,0.64166667,77,120,0.11470588,0.11666667,0.55833333,0.51470588,0.33333333,0.66666667,0.00775640,0.00000000,0.23333333,0.50000000,0.36666667,0.68333333
global_capped,7,16,0.63529412,0.43333333,0.71666667,86,120,0.41531709,0.36976095,0.67500000,0.37019049,0.26111648,0.58333333,0.52502424,0.39451202,0.59166667,0.53421648,0.35983579,0.67500000
global_capped,16,16,0.23529412,0.16666667,0.58333333,70,120,0.27814577,0.22594340,0.60833333,0.32106073,0.26891706,0.62500000,-0.45227039,-0.32358947,0.24166667,0.30882353,0.25000000,0.62500000
global_capped,17,16,0.94705882,0.83333333,0.91666667,110,120,0.68316399,0.55323657,0.75000000,0.79710371,0.60927180,0.75000000,0.69373166,0.50854763,0.73333333,0.76968380,0.56067436,0.77500000
global_capped,18,16,0.27941176,0.20000000,0.60000000,72,120,0.20897725,0.12552411,0.55833333,0.47647059,0.36666667,0.68333333,0.23303936,0.17722939,0.57500000,0.33848427,0.24267995,0.61666667
rubric_capped,1,16,0.45294118,0.33333333,0.66666667,80,120,-0.11176471,-0.10000000,0.45000000,0.25882353,0.25000000,0.62500000,0.09199178,0.08625819,0.50833333,0.75882353,0.55000000,0.77500000
rubric_capped,2,16,0.47647059,0.35000000,0.67500000,81,120,0.12352941,0.13333333,0.56666667,0.32941176,0.23333333,0.61666667,0.47492832,0.37977726,0.67500000,0.75294118,0.60000000,0.80000000
rubric_capped,3,16,0.34117647,0.23333333,0.61666667,74,120,0.17512882,0.15899721,0.57500000,0.25754238,0.19247030,0.59166667,0.06186290,0.02823912,0.40000000,0.39293609,0.27615304,0.63333333
rubric_capped,4,16,0.42941176,0.28333333,0.64166667,77,120,0.54705882,0.40000000,0.70000000,0.12164132,0.05367637,0.45833333,0.28553950,0.26606624,0.53333333,0.65095800,0.48741217,0.73333333
rubric_capped,5,16,-0.01470588,-0.01666667,0.49166667,59,120,0.39882277,0.32636269,0.65833333,-0.11450526,-0.08703883,0.41666667,0.03539838,0.05907646,0.51666667,0.16764706,0.13333333,0.56666667
rubric_capped,6,16,0.24117647,0.15000000,0.57500000,69,120,0.17647059,0.16666667,0.58333333,-0.03235294,-0.05000000,0.47500000,0.43690334,0.27122540,0.61666667,0.68235294,0.51666667,0.75833333
rubric_capped,7,16,0.69705882,0.51666667,0.75833333,91,120,0.53461030,0.40337559,0.69166667,0.68365824,0.47000967,0.68333333,0.70924327,0.63305416,0.70000000,0.30757919,0.19247030,0.59166667
