model,metric,estimate,ci_low,ci_high,n_questions,n_resamples
mean_loqo,accuracy,0.00000000,0.00000000,0.00000000,10,5000
mean_loqo,spearman,,,,10,5000
mean_loqo,kendall,,,,10,5000
structure,accuracy,0.66750000,0.61250000,0.72333333,10,5000
structure,spearman,0.45470588,0.31587500,0.59176471,10,5000
structure,kendall,0.33500000,0.22500000,0.44666667,10,5000
global_capped,accuracy,0.65916667,0.60250000,0.73083333,10,5000
global_capped,spearman,0.43941176,0.29675735,0.59855882,10,5000
global_capped,kendall,0.31833333,0.20500000,0.46166667,10,5000
rubric_capped,accuracy,0.66416667,0.61000000,0.72083333,10,5000
rubric_capped,spearman,0.44882353,0.30793382,0.58501471,10,5000
rubric_capped,kendall,0.32833333,0.22000000,0.44166667,10,5000
rubric_structure_capped,accuracy,0.68666667,0.62333333,0.74083333,10,5000
rubric_structure_capped,spearman,0.50294118,0.33088235,0.64676471,10,5000
rubric_structure_capped,kendall,0.37333333,0.24666667,0.48166667,10,5000
all_capped,accuracy,0.70000000,0.63416667,0.76835417,10,5000
all_capped,spearman,0.54029412,0.37735294,0.68705882,10,5000
all_capped,kendall,0.40000000,0.26833333,0.53670833,10,5000
global_unbounded,accuracy,0.66250000,0.61666667,0.71416667,10,5000
global_unbounded,spearman,0.45941176,0.33088235,0.59000735,10,5000
global_unbounded,kendall,0.32500000,0.23333333,0.42833333,10,5000
rubric_unbounded,accuracy,0.65416667,0.59833333,0.71083333,10,5000
rubric_unbounded,spearman,0.40970588,0.27176471,0.54265441,10,5000
rubric_unbounded,kendall,0.30833333,0.19666667,0.42166667,10,5000
rubric_structure_unbounded,accuracy,0.70500000,0.63916667,0.76166667,10,5000
rubric_structure_unbounded,spearman,0.54235294,0.37350735,0.68147059,10,5000
rubric_structure_unbounded,kendall,0.41000000,0.27833333,0.52333333,10,5000
all_unbounded,accuracy,0.70083333,0.64247917,0.75500000,10,5000
all_unbounded,spearman,0.54529412,0.39823529,0.66913235,10,5000
all_unbounded,kendall,0.40166667,0.28495833,0.51000000,10,5000
