model,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
rubric_structure_capped,7,insight,1000.00000000,0.63611111,0.40866615,1.01120995,54,144,16
rubric_structure_capped,7,instruction_following,100.00000000,0.55092593,0.23797631,0.76348697,54,144,16
rubric_structure_capped,7,readability,1000.00000000,0.70462963,0.56233855,0.69439149,54,144,16
rubric_structure_capped,16,comprehensiveness,100.00000000,0.63796296,0.37361708,0.55047586,54,144,16
rubric_structure_capped,16,insight,10.00000000,0.63611111,0.43833011,1.10649046,54,144,16
rubric_structure_capped,16,instruction_following,10.00000000,0.58148148,0.30527314,0.89915899,54,144,16
rubric_structure_capped,16,readability,100.00000000,0.71574074,0.58805241,0.61868248,54,144,16
rubric_structure_capped,17,comprehensiveness,1000.00000000,0.63425926,0.35804027,0.60171320,54,144,16
rubric_structure_capped,17,insight,100.00000000,0.62222222,0.38332689,0.99502208,54,144,16
rubric_structure_capped,17,instruction_following,10.00000000,0.58888889,0.39189233,0.81415425,54,144,16
rubric_structure_capped,17,readability,1000.00000000,0.68888889,0.53274751,0.71428811,54,144,16
rubric_structure_capped,18,comprehensiveness,1000.00000000,0.63518519,0.36705193,0.58437505,54,144,16
rubric_structure_capped,18,insight,100.00000000,0.64722222,0.45213828,0.91520314,54,144,16
rubric_structure_capped,18,instruction_following,1.00000000,0.56018519,0.30194920,0.78566657,54,144,16
rubric_structure_capped,18,readability,100.00000000,0.70185185,0.56349834,0.73645018,54,144,16
all_capped,1,comprehensiveness,100.00000000,0.63148148,0.34170129,0.82249071,1078,144,16
all_capped,1,insight,1000.00000000,0.67037037,0.49152596,1.12502248,1078,144,16
all_capped,1,instruction_following,100.00000000,0.59629630,0.39020614,1.16423449,1078,144,16
all_capped,1,readability,1000.00000000,0.70462963,0.56077191,0.64790040,1078,144,16
all_capped,2,comprehensiveness,10.00000000,0.59907407,0.28943181,1.02301539,1078,144,16
all_capped,2,insight,1000.00000000,0.66944444,0.49890204,1.03662832,1078,144,16
all_capped,2,instruction_following,10.00000000,0.58518519,0.37249743,1.69201276,1078,144,16
all_capped,2,readability,1000.00000000,0.70648148,0.57693768,0.68654361,1078,144,16
all_capped,3,comprehensiveness,10.00000000,0.62314815,0.35657284,1.20230846,1078,144,16
all_capped,3,insight,1000.00000000,0.67222222,0.51756970,1.01112031,1078,144,16
all_capped,3,instruction_following,0.01000000,0.57592593,0.33728718,1.42059982,1078,144,16
all_capped,3,readability,1000.00000000,0.71666667,0.59404233,0.68967720,1078,144,16
all_capped,4,comprehensiveness,100.00000000,0.61296296,0.31438924,0.75937525,1078,144,16
all_capped,4,insight,1000.00000000,0.65462963,0.46319908,1.00540502,1078,144,16
all_capped,4,instruction_following,100.00000000,0.59907407,0.38318201,0.91077970,1078,144,16
all_capped,4,readability,1000.00000000,0.71851852,0.58631113,0.68655440,1078,144,16
all_capped,5,comprehensiveness,100.00000000,0.63425926,0.35315891,0.67639975,1078,144,16
all_capped,5,insight,1000.00000000,0.69537037,0.55792319,0.88614545,1078,144,16
all_capped,5,instruction_following,1000.00000000,0.58148148,0.34614756,0.70977913,1078,144,16
all_capped,5,readability,1000.00000000,0.72685185,0.61482151,0.67493507,1078,144,16
all_capped,6,comprehensiveness,1000.00000000,0.63425926,0.37330516,0.56120695,1078,144,16
all_capped,6,insight,1000.00000000,0.67870370,0.53076138,0.91199970,1078,144,16
all_capped,6,instruction_following,0.10000000,0.59166667,0.38557599,1.01253829,1078,144,16
all_capped,6,readability,1000.00000000,0.70000000,0.55633236,0.70507763,1078,144,16
all_capped,7,comprehensiveness,100.00000000,0.62314815,0.34117403,0.63165106,1078,144,16
all_capped,7,insight,1000.00000000,0.67592593,0.50889406,0.94515369,1078,144,16
all_capped,7,instruction_following,100.00000000,0.53611111,0.18506396,0.85164898,1078,144,16
all_capped,7,readability,1000.00000000,0.69351852,0.52473638,0.67746400,1078,144,16
all_capped,16,comprehensiveness,100.00000000,0.65277778,0.41508273,0.60435423,1078,144,16
all_capped,16,insight,1000.00000000,0.68425926,0.53440508,0.94159286,1078,144,16
all_capped,16,instruction_following,1000.00000000,0.58425926,0.33785013,0.75067862,1078,144,16
all_capped,16,readability,1000.00000000,0.71574074,0.58672994,0.62294402,1078,144,16
all_capped,17,comprehensiveness,100.00000000,0.65185185,0.40639014,0.62766990,1078,144,16
all_capped,17,insight,1000.00000000,0.66574074,0.47438607,1.00627877,1078,144,16
all_capped,17,instruction_following,100.00000000,0.57777778,0.33565466,0.90115871,1078,144,16
all_capped,17,readability,1000.00000000,0.67500000,0.49123593,0.69124611,1078,144,16
all_capped,18,comprehensiveness,100.00000000,0.62685185,0.35324460,0.64655331,1078,144,16
all_capped,18,insight,1000.00000000,0.69259259,0.56125028,1.03635436,1078,144,16
all_capped,18,instruction_following,10.00000000,0.60648148,0.41893941,1.41330883,1078,144,16
all_capped,18,readability,1000.00000000,0.70092593,0.55482821,0.68990849,1078,144,16
