model,held_out_question,dimension,alpha,inner_accuracy,inner_spearman,inner_mae,feature_count,train_documents,test_documents
rubric_structure_unbounded,7,insight,100.00000000,0.63981481,0.42355544,1.05197956,54,144,16
rubric_structure_unbounded,7,instruction_following,100.00000000,0.55370370,0.24987601,0.75511633,54,144,16
rubric_structure_unbounded,7,readability,1000.00000000,0.70925926,0.56528105,0.69309303,54,144,16
rubric_structure_unbounded,16,comprehensiveness,100.00000000,0.63240741,0.36951122,0.55047062,54,144,16
rubric_structure_unbounded,16,insight,10.00000000,0.63518519,0.42651125,1.10102264,54,144,16
rubric_structure_unbounded,16,instruction_following,100.00000000,0.57407407,0.32589453,0.81987248,54,144,16
rubric_structure_unbounded,16,readability,1000.00000000,0.71944444,0.60767060,0.63928035,54,144,16
rubric_structure_unbounded,17,comprehensiveness,100.00000000,0.63796296,0.36130834,0.61250329,54,144,16
rubric_structure_unbounded,17,insight,100.00000000,0.62500000,0.38055631,1.00572347,54,144,16
rubric_structure_unbounded,17,instruction_following,1.00000000,0.59166667,0.38100625,0.89288774,54,144,16
rubric_structure_unbounded,17,readability,1000.00000000,0.69629630,0.55121950,0.71029472,54,144,16
rubric_structure_unbounded,18,comprehensiveness,1000.00000000,0.62685185,0.35526974,0.58387991,54,144,16
rubric_structure_unbounded,18,insight,100.00000000,0.63981481,0.42584928,0.91520518,54,144,16
rubric_structure_unbounded,18,instruction_following,10.00000000,0.56481481,0.31675267,0.72960487,54,144,16
rubric_structure_unbounded,18,readability,1000.00000000,0.71018519,0.58490224,0.72056566,54,144,16
all_unbounded,1,comprehensiveness,100.00000000,0.64166667,0.37863362,0.76085714,1078,144,16
all_unbounded,1,insight,1000.00000000,0.66111111,0.48584424,1.13769157,1078,144,16
all_unbounded,1,instruction_following,100.00000000,0.60092593,0.40624796,1.15342516,1078,144,16
all_unbounded,1,readability,1000.00000000,0.72129630,0.58397788,0.64653584,1078,144,16
all_unbounded,2,comprehensiveness,100.00000000,0.60925926,0.30447101,0.74320045,1078,144,16
all_unbounded,2,insight,1000.00000000,0.66481481,0.49508101,1.04207370,1078,144,16
all_unbounded,2,instruction_following,0.10000000,0.59259259,0.39944173,1.92902619,1078,144,16
all_unbounded,2,readability,1000.00000000,0.71296296,0.58168465,0.68630887,1078,144,16
all_unbounded,3,comprehensiveness,100.00000000,0.63888889,0.40184408,0.78897432,1078,144,16
all_unbounded,3,insight,1000.00000000,0.67500000,0.52810525,1.01590354,1078,144,16
all_unbounded,3,instruction_following,1.00000000,0.59259259,0.38100576,1.44227965,1078,144,16
all_unbounded,3,readability,1000.00000000,0.72592593,0.61251408,0.67419031,1078,144,16
all_unbounded,4,comprehensiveness,1000.00000000,0.62407407,0.34025002,0.58754760,1078,144,16
all_unbounded,4,insight,1000.00000000,0.66759259,0.49472107,1.01119381,1078,144,16
all_unbounded,4,instruction_following,100.00000000,0.60185185,0.38827893,0.95631200,1078,144,16
all_unbounded,4,readability,1000.00000000,0.73148148,0.61231474,0.66790284,1078,144,16
all_unbounded,5,comprehensiveness,100.00000000,0.63611111,0.36085268,0.64698082,1078,144,16
all_unbounded,5,insight,1000.00000000,0.70092593,0.57236283,0.90336376,1078,144,16
all_unbounded,5,instruction_following,10.00000000,0.57407407,0.34689348,1.10066788,1078,144,16
all_unbounded,5,readability,1000.00000000,0.73703704,0.63608294,0.66324168,1078,144,16
all_unbounded,6,comprehensiveness,100.00000000,0.63240741,0.38520251,0.64790684,1078,144,16
all_unbounded,6,insight,1000.00000000,0.68333333,0.53549983,0.91858046,1078,144,16
all_unbounded,6,instruction_following,1000.00000000,0.59629630,0.37369083,0.68708599,1078,144,16
all_unbounded,6,readability,1000.00000000,0.71574074,0.58789247,0.70236730,1078,144,16
all_unbounded,7,comprehensiveness,100.00000000,0.63333333,0.35948549,0.60354097,1078,144,16
all_unbounded,7,insight,1000.00000000,0.68888889,0.53715745,0.95170566,1078,144,16
all_unbounded,7,instruction_following,1000.00000000,0.52870370,0.18244007,0.65372323,1078,144,16
all_unbounded,7,readability,1000.00000000,0.70740741,0.54778305,0.65507774,1078,144,16
all_unbounded,16,comprehensiveness,10.00000000,0.65185185,0.39887844,0.71964069,1078,144,16
all_unbounded,16,insight,1000.00000000,0.69537037,0.55747137,0.95326183,1078,144,16
all_unbounded,16,instruction_following,1000.00000000,0.58333333,0.31802834,0.75312812,1078,144,16
all_unbounded,16,readability,1000.00000000,0.72222222,0.59899012,0.63185895,1078,144,16
all_unbounded,17,comprehensiveness,100.00000000,0.64259259,0.39070412,0.60516332,1078,144,16
all_unbounded,17,insight,1000.00000000,0.67870370,0.49861390,1.00362571,1078,144,16
all_unbounded,17,instruction_following,100.00000000,0.58055556,0.34521057,0.91314868,1078,144,16
all_unbounded,17,readability,1000.00000000,0.69629630,0.53994004,0.68156625,1078,144,16
all_unbounded,18,comprehensiveness,100.00000000,0.61759259,0.32678764,0.61013041,1078,144,16
all_unbounded,18,insight,1000.00000000,0.68888889,0.55287626,1.05142035,1078,144,16
all_unbounded,18,instruction_following,100.00000000,0.60555556,0.42051084,0.95613427,1078,144,16
all_unbounded,18,readability,1000.00000000,0.71481481,0.58441479,0.68462667,1078,144,16
