model,metric,estimate,ci_low,ci_high,n_questions,n_resamples
mlp_structure_huber,accuracy,0.63250000,0.57916667,0.68416667,10,5000
mlp_structure_huber,spearman,0.37911765,0.23293382,0.51794118,10,5000
mlp_structure_huber,kendall,0.26500000,0.15833333,0.36833333,10,5000
mlp_structure_huber_pair,accuracy,0.64583333,0.59166667,0.69583333,10,5000
mlp_structure_huber_pair,spearman,0.40500000,0.26205147,0.53824265,10,5000
mlp_structure_huber_pair,kendall,0.29166667,0.18333333,0.39166667,10,5000
mlp_rubric_huber,accuracy,0.65000000,0.58500000,0.71750000,10,5000
mlp_rubric_huber,spearman,0.40647059,0.24350735,0.56944118,10,5000
mlp_rubric_huber,kendall,0.30000000,0.17000000,0.43500000,10,5000
mlp_rubric_huber_pair,accuracy,0.65833333,0.59416667,0.72416667,10,5000
mlp_rubric_huber_pair,spearman,0.42088235,0.25381618,0.57970588,10,5000
mlp_rubric_huber_pair,kendall,0.31666667,0.18833333,0.44833333,10,5000
mlp_all_huber,accuracy,0.67416667,0.62500000,0.72333333,10,5000
mlp_all_huber,spearman,0.46470588,0.33411765,0.59059559,10,5000
mlp_all_huber,kendall,0.34833333,0.25000000,0.44666667,10,5000
mlp_all_huber_pair,accuracy,0.67916667,0.63083333,0.72418750,10,5000
mlp_all_huber_pair,spearman,0.47823529,0.34941176,0.59588971,10,5000
mlp_all_huber_pair,kendall,0.35833333,0.26166667,0.44837500,10,5000
ridge_all_unbounded,accuracy,0.70083333,0.64414583,0.75333333,10,5000
ridge_all_unbounded,spearman,0.54529412,0.40291912,0.66647794,10,5000
ridge_all_unbounded,kendall,0.40166667,0.28829167,0.50666667,10,5000
