model,spearman,kendall,accuracy,n_questions,n_documents,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability,mae_comprehensiveness,rmse_comprehensiveness,mae_insight,rmse_insight,mae_instruction_following,rmse_instruction_following,mae_readability,rmse_readability,mae,rmse
mlp_all_huber,0.46470588,0.34833333,0.67416667,10.00000000,160.00000000,1200.00000000,0.34738083,0.25121962,0.62083333,0.44222974,0.33967239,0.65333333,0.29688560,0.21726610,0.56333333,0.54380490,0.41281503,0.70333333,0.55434387,0.73669963,1.08409161,1.32922926,0.76917301,0.98744272,0.69408031,0.89897003,0.67807337,0.82801120
mlp_all_huber_pair,0.47823529,0.35833333,0.67916667,10.00000000,160.00000000,1200.00000000,0.34266618,0.24617070,0.61833333,0.44414688,0.34638504,0.65666667,0.28764233,0.21504394,0.55333333,0.55468378,0.41612005,0.70500000,0.57444856,0.75315698,1.12498813,1.38758019,0.79885735,1.02148303,0.71146035,0.90966398,0.71078870,0.86526031
mlp_rubric_huber,0.40647059,0.30000000,0.65000000,10.00000000,160.00000000,1200.00000000,0.37303948,0.29316531,0.64166667,0.30554035,0.22728987,0.59833333,0.15981408,0.11217971,0.51250000,0.49143302,0.36442606,0.67916667,0.57445029,0.78227729,0.97311887,1.21832183,0.80034527,1.12001762,0.74834611,1.00324651,0.62595914,0.78230833
mlp_rubric_huber_pair,0.42088235,0.31666667,0.65833333,10.00000000,160.00000000,1200.00000000,0.39834843,0.30988778,0.65000000,0.33583852,0.25129029,0.61000000,0.18535055,0.12831662,0.52000000,0.48613413,0.36107158,0.67750000,0.58235526,0.79441544,0.97406952,1.25834405,0.81588736,1.14550707,0.78582380,1.04384310,0.64053392,0.80877885
mlp_structure_huber,0.37911765,0.26500000,0.63250000,10.00000000,160.00000000,1200.00000000,0.21457656,0.14946081,0.57000000,0.47699214,0.34687747,0.65750000,-0.07355779,-0.04796058,0.43583333,0.54422898,0.37934202,0.68666667,0.62576923,0.83212028,0.97189109,1.27378989,0.73246384,1.00584360,0.68302676,0.90959449,0.64564754,0.83710549
mlp_structure_huber_pair,0.40500000,0.29166667,0.64583333,10.00000000,160.00000000,1200.00000000,0.23117653,0.15939738,0.57500000,0.44782530,0.32711093,0.64750000,-0.07268528,-0.06055975,0.42916667,0.54937549,0.37934202,0.68666667,0.63437007,0.83947443,0.96120486,1.28096078,0.74924427,1.02220555,0.70286857,0.93300824,0.64929638,0.84935708
ridge_all_unbounded,0.54529412,0.40166667,0.70083333,10.00000000,160.00000000,1200.00000000,0.41951816,0.31489539,0.65250000,0.52918098,0.39485065,0.68083333,0.31633854,0.24596326,0.49666667,0.58851391,0.44283555,0.71833333,0.62385753,0.81565655,0.96925021,1.20950987,0.92118221,1.17881944,0.65772029,0.87724746,0.61668264,0.76468456
