model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
mlp_rubric_huber,4,16,0.61176471,0.45000000,0.72500000,87,120,0.54705882,0.45000000,0.72500000,0.64312012,0.49372817,0.74166667,0.15965649,0.13762047,0.47500000,0.62886666,0.48741217,0.73333333
mlp_rubric_huber,5,16,-0.02058824,0.01666667,0.50833333,61,120,0.05298015,0.04184137,0.51666667,-0.22901052,-0.15666989,0.38333333,0.15634286,0.07595545,0.52500000,0.26176471,0.21666667,0.60833333
mlp_rubric_huber,6,16,0.24705882,0.15000000,0.57500000,69,120,0.17058824,0.16666667,0.58333333,0.00882353,0.00000000,0.50000000,0.34391378,0.25427381,0.60833333,0.64117647,0.50000000,0.75000000
mlp_rubric_huber,7,16,0.23529412,0.15000000,0.57500000,69,120,0.41973536,0.28572437,0.63333333,0.08359140,0.01740777,0.46666667,-0.36536775,-0.28441564,0.28333333,0.52097144,0.39330888,0.69166667
mlp_rubric_huber,16,16,0.67058824,0.46666667,0.73333333,88,120,0.81383392,0.64435710,0.81666667,0.64653973,0.48741217,0.73333333,0.33765392,0.22841610,0.48333333,-0.06470588,-0.05000000,0.47500000
mlp_rubric_huber,17,16,0.85000000,0.70000000,0.85000000,102,120,0.63026259,0.49159604,0.72500000,0.64783336,0.52223297,0.70833333,0.52251278,0.35598334,0.65833333,0.60485668,0.44351853,0.71666667
mlp_rubric_huber,18,16,0.50000000,0.38333333,0.69166667,83,120,0.57836660,0.44351853,0.71666667,0.44411765,0.33333333,0.66666667,0.36873317,0.26162434,0.61666667,0.60927169,0.41004543,0.70000000
mlp_rubric_huber_pair,1,16,0.58529412,0.41666667,0.70833333,85,120,0.22352941,0.16666667,0.58333333,0.50000000,0.30000000,0.65000000,0.13353645,0.08625819,0.50833333,0.47647059,0.30000000,0.65000000
mlp_rubric_huber_pair,2,16,0.38823529,0.26666667,0.63333333,76,120,0.45294118,0.35000000,0.67500000,0.27058824,0.21666667,0.60833333,0.17994179,0.12659242,0.55000000,0.69117647,0.48333333,0.74166667
mlp_rubric_huber_pair,3,16,0.03529412,0.01666667,0.50833333,61,120,-0.01618838,-0.04184137,0.47500000,0.10890364,0.09205101,0.54166667,-0.22074680,-0.15389675,0.40000000,0.47829299,0.37657233,0.68333333
mlp_rubric_huber_pair,4,16,0.60882353,0.45000000,0.72500000,87,120,0.55588235,0.46666667,0.73333333,0.61663004,0.47699162,0.73333333,0.05526571,0.04587349,0.43333333,0.60530257,0.45379754,0.71666667
mlp_rubric_huber_pair,5,16,-0.07058824,-0.03333333,0.48333333,58,120,0.05003681,0.04184137,0.51666667,-0.21413971,-0.17407766,0.37500000,0.15634286,0.05907646,0.51666667,0.26176471,0.21666667,0.60833333
mlp_rubric_huber_pair,6,16,0.24705882,0.15000000,0.57500000,69,120,0.21176471,0.20000000,0.60000000,0.08529412,0.06666667,0.53333333,0.38524248,0.27122540,0.61666667,0.65000000,0.53333333,0.76666667
mlp_rubric_huber_pair,7,16,0.47058824,0.36666667,0.68333333,82,120,0.50662794,0.36976095,0.67500000,0.24480339,0.15666989,0.53333333,-0.18728935,-0.13762047,0.35000000,0.49742471,0.39330888,0.69166667
mlp_rubric_huber_pair,16,16,0.61176471,0.43333333,0.71666667,86,120,0.80206056,0.62762056,0.80833333,0.65979453,0.50421948,0.74166667,0.36553360,0.26648545,0.50000000,-0.03529412,-0.03333333,0.48333333
mlp_rubric_huber_pair,17,16,0.82941176,0.70000000,0.85000000,102,120,0.62140644,0.47464445,0.71666667,0.67768743,0.55704850,0.72500000,0.57269763,0.42378969,0.69166667,0.61810171,0.44351853,0.71666667
mlp_rubric_huber_pair,18,16,0.50294118,0.40000000,0.70000000,84,120,0.57542326,0.44351853,0.71666667,0.40882353,0.31666667,0.65833333,0.41298115,0.29538232,0.63333333,0.61810171,0.44351853,0.71666667
mlp_all_huber,1,16,0.50294118,0.35000000,0.67500000,81,120,-0.02352941,-0.05000000,0.47500000,0.64117647,0.48333333,0.74166667,-0.06973570,-0.03450328,0.45000000,0.60000000,0.41666667,0.70833333
mlp_all_huber,2,16,0.57647059,0.41666667,0.70833333,85,120,0.42647059,0.31666667,0.65833333,0.44117647,0.33333333,0.66666667,0.24188896,0.17722939,0.57500000,0.59705882,0.46666667,0.73333333
mlp_all_huber,3,16,0.42941176,0.30000000,0.65000000,78,120,0.17954383,0.15899721,0.57500000,0.19426054,0.15899721,0.57500000,0.35556531,0.29069387,0.61666667,0.47829299,0.35983579,0.67500000
mlp_all_huber,4,16,0.66764706,0.50000000,0.75000000,90,120,0.37647059,0.25000000,0.62500000,0.72994869,0.57741091,0.78333333,0.17807840,0.13762047,0.47500000,0.60677533,0.43699022,0.70833333
mlp_all_huber,5,16,0.03823529,0.05000000,0.52500000,63,120,0.33112592,0.27615304,0.63333333,0.04312536,0.01740777,0.46666667,0.07079677,0.05907646,0.51666667,0.10000000,0.10000000,0.55000000
mlp_all_huber,6,16,0.42647059,0.33333333,0.66666667,80,120,0.37941176,0.28333333,0.64166667,0.36764706,0.30000000,0.65000000,0.42804719,0.25427381,0.60833333,0.64705882,0.55000000,0.77500000
mlp_all_huber,7,16,0.64117647,0.48333333,0.74166667,89,120,0.51251897,0.38656827,0.68333333,0.55827114,0.40037861,0.65000000,0.45747726,0.30276504,0.55000000,0.68874191,0.51046472,0.75000000
mlp_all_huber,16,16,0.20294118,0.13333333,0.56666667,68,120,0.30905086,0.19247030,0.59166667,0.17083966,0.16807316,0.57500000,-0.04336839,-0.03806935,0.36666667,0.35588235,0.28333333,0.64166667
mlp_all_huber,17,16,0.77352941,0.61666667,0.80833333,97,120,0.38671850,0.27122540,0.61666667,0.75232261,0.57445626,0.73333333,0.73358433,0.55940239,0.75833333,0.77998549,0.59414746,0.79166667
mlp_all_huber,18,16,0.38823529,0.30000000,0.65000000,78,120,0.59602665,0.42678198,0.70833333,0.52352941,0.38333333,0.69166667,0.61652186,0.46417221,0.71666667,0.58425329,0.41004543,0.70000000
mlp_all_huber_pair,1,16,0.53529412,0.40000000,0.70000000,84,120,-0.00882353,-0.03333333,0.48333333,0.67058824,0.53333333,0.76666667,-0.06973570,-0.03450328,0.45000000,0.61470588,0.40000000,0.70000000
mlp_all_huber_pair,2,16,0.56470588,0.40000000,0.70000000,84,120,0.46176471,0.35000000,0.67500000,0.47058824,0.36666667,0.68333333,0.20649057,0.16035040,0.56666667,0.63529412,0.50000000,0.75000000
mlp_all_huber_pair,3,16,0.35294118,0.26666667,0.63333333,76,120,0.13097870,0.10878756,0.55000000,0.14716707,0.12552411,0.55833333,0.43458689,0.39534775,0.57500000,0.48859469,0.37657233,0.68333333
mlp_all_huber_pair,4,16,0.66764706,0.50000000,0.75000000,90,120,0.42352941,0.28333333,0.64166667,0.77409881,0.61088401,0.80000000,0.14737523,0.10092168,0.45833333,0.56259266,0.36976095,0.67500000
mlp_all_huber_pair,5,16,0.06764706,0.05000000,0.52500000,63,120,0.32671091,0.25941650,0.62500000,0.04312536,0.01740777,0.46666667,0.02654879,0.02531848,0.50000000,0.16470588,0.11666667,0.55833333
mlp_all_huber_pair,6,16,0.45882353,0.36666667,0.68333333,82,120,0.36176471,0.26666667,0.63333333,0.34411765,0.28333333,0.64166667,0.42657117,0.25427381,0.60833333,0.64705882,0.55000000,0.77500000
mlp_all_huber_pair,7,16,0.66764706,0.48333333,0.74166667,89,120,0.51988274,0.38656827,0.68333333,0.56424196,0.41778637,0.65833333,0.41142250,0.28441564,0.54166667,0.69757193,0.52720127,0.75833333
mlp_all_huber_pair,16,16,0.26176471,0.18333333,0.59166667,71,120,0.24282567,0.15899721,0.57500000,0.14874832,0.13445853,0.55833333,-0.08054130,-0.07613870,0.35000000,0.35000000,0.28333333,0.64166667
mlp_all_huber_pair,17,16,0.76470588,0.60000000,0.80000000,96,120,0.38671850,0.27122540,0.61666667,0.75232261,0.57445626,0.73333333,0.73358433,0.55940239,0.75833333,0.81383392,0.64435710,0.81666667
mlp_all_huber_pair,18,16,0.44117647,0.33333333,0.66666667,80,120,0.58130994,0.41004543,0.70000000,0.52647059,0.40000000,0.70000000,0.64012078,0.48105120,0.72500000,0.57247992,0.39330888,0.69166667
ridge_all_unbounded,1,16,0.62058824,0.46666667,0.73333333,88,120,0.33823529,0.25000000,0.62500000,0.65000000,0.50000000,0.75000000,-0.04896336,-0.01725164,0.45833333,0.61470588,0.38333333,0.69166667
ridge_all_unbounded,2,16,0.59117647,0.45000000,0.72500000,87,120,0.71470588,0.56666667,0.78333333,0.52058824,0.40000000,0.70000000,0.27728734,0.16035040,0.56666667,0.73529412,0.61666667,0.80833333
ridge_all_unbounded,3,16,0.48823529,0.35000000,0.67500000,81,120,0.13686538,0.12552411,0.55833333,0.55481987,0.42678198,0.70833333,0.14230192,0.11616917,0.32500000,0.64753513,0.52720127,0.75833333
ridge_all_unbounded,4,16,0.71176471,0.51666667,0.75833333,91,120,0.43235294,0.30000000,0.65000000,0.78292884,0.61088401,0.80000000,0.20264093,0.15596987,0.48333333,0.52577377,0.35295364,0.66666667
ridge_all_unbounded,5,16,0.02352941,0.00000000,0.50000000,60,120,0.24724069,0.15899721,0.57500000,0.05353493,0.01740777,0.46666667,,,0.02500000,0.12647059,0.06666667,0.53333333
ridge_all_unbounded,6,16,0.54117647,0.36666667,0.68333333,82,120,0.26176471,0.21666667,0.60833333,0.51470588,0.38333333,0.69166667,0.28782484,0.23732223,0.60000000,0.70588235,0.58333333,0.79166667
ridge_all_unbounded,7,16,0.64705882,0.45000000,0.72500000,87,120,0.62444839,0.48741217,0.73333333,0.47766515,0.34815531,0.62500000,0.73073549,0.59635537,0.68333333,0.67402520,0.49372817,0.74166667
ridge_all_unbounded,16,16,0.52647059,0.36666667,0.68333333,82,120,0.46210461,0.30962614,0.65000000,0.48453661,0.31933901,0.65000000,0.08209017,0.07613870,0.41666667,0.44117647,0.33333333,0.66666667
ridge_all_unbounded,17,16,0.88529412,0.73333333,0.86666667,104,120,0.59188595,0.47464445,0.71666667,0.80008912,0.60927180,0.75000000,0.75424868,0.57635398,0.76666667,0.83443731,0.64435710,0.81666667
ridge_all_unbounded,18,16,0.41764706,0.31666667,0.65833333,79,120,0.38557773,0.25941650,0.62500000,0.45294118,0.33333333,0.66666667,0.41888088,0.31226130,0.64166667,0.57983827,0.42678198,0.70833333
