model,metric,estimate,ci_low,ci_high,n_questions,n_resamples
ridge_global_structure,accuracy,0.69083333,0.63414583,0.74833333,10,5000
ridge_global_structure,spearman,0.52264706,0.38029412,0.65353676,10,5000
ridge_global_structure,kendall,0.38166667,0.26829167,0.49666667,10,5000
fixed_matched_hybrid,accuracy,0.69083333,0.63583333,0.74750000,10,5000
fixed_matched_hybrid,spearman,0.52264706,0.38381618,0.65117647,10,5000
fixed_matched_hybrid,kendall,0.38166667,0.27166667,0.49500000,10,5000
diagonal_matched_separate_hybrid,accuracy,0.68083333,0.62250000,0.74500000,10,5000
diagonal_matched_separate_hybrid,spearman,0.49588235,0.34587500,0.64030147,10,5000
diagonal_matched_separate_hybrid,kendall,0.36166667,0.24500000,0.49000000,10,5000
diagonal_shared_a0_hybrid,accuracy,0.68083333,0.61916667,0.74333333,10,5000
diagonal_shared_a0_hybrid,spearman,0.50058824,0.34822794,0.63941912,10,5000
diagonal_shared_a0_hybrid,kendall,0.36166667,0.23833333,0.48666667,10,5000
diagonal_generic_separate_hybrid,accuracy,0.69083333,0.63583333,0.74750000,10,5000
diagonal_generic_separate_hybrid,spearman,0.52382353,0.38411029,0.65323529,10,5000
diagonal_generic_separate_hybrid,kendall,0.38166667,0.27166667,0.49500000,10,5000
diagonal_mismatch_shift1_separate_hybrid,accuracy,0.69250000,0.63750000,0.75166667,10,5000
diagonal_mismatch_shift1_separate_hybrid,spearman,0.52911765,0.39028676,0.66117647,10,5000
diagonal_mismatch_shift1_separate_hybrid,kendall,0.38500000,0.27500000,0.50333333,10,5000
diagonal_mismatch_shift2_separate_hybrid,accuracy,0.68833333,0.62833333,0.75000000,10,5000
diagonal_mismatch_shift2_separate_hybrid,spearman,0.52147059,0.36735294,0.66030147,10,5000
diagonal_mismatch_shift2_separate_hybrid,kendall,0.37666667,0.25666667,0.50000000,10,5000
diagonal_mismatch_shift3_separate_hybrid,accuracy,0.68333333,0.62333333,0.74333333,10,5000
diagonal_mismatch_shift3_separate_hybrid,spearman,0.51352941,0.36234559,0.64177206,10,5000
diagonal_mismatch_shift3_separate_hybrid,kendall,0.36666667,0.24666667,0.48666667,10,5000
diagonal_mismatch_shift4_separate_hybrid,accuracy,0.68916667,0.63416667,0.74916667,10,5000
diagonal_mismatch_shift4_separate_hybrid,spearman,0.51941176,0.37998529,0.65147794,10,5000
diagonal_mismatch_shift4_separate_hybrid,kendall,0.37833333,0.26833333,0.49833333,10,5000
diagonal_mismatch_shift5_separate_hybrid,accuracy,0.68916667,0.63333333,0.74833333,10,5000
diagonal_mismatch_shift5_separate_hybrid,spearman,0.52058824,0.37175735,0.66000735,10,5000
diagonal_mismatch_shift5_separate_hybrid,kendall,0.37833333,0.26666667,0.49666667,10,5000
diagonal_mismatched_ensemble_separate_hybrid,accuracy,0.68916667,0.63166667,0.74666667,10,5000
diagonal_mismatched_ensemble_separate_hybrid,spearman,0.51941176,0.37000000,0.65235294,10,5000
diagonal_mismatched_ensemble_separate_hybrid,kendall,0.37833333,0.26333333,0.49333333,10,5000
