model,spearman,kendall,accuracy,n_questions,n_documents,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability,mae_comprehensiveness,rmse_comprehensiveness,mae_insight,rmse_insight,mae_instruction_following,rmse_instruction_following,mae_readability,rmse_readability,mae,rmse
diagonal_generic_separate_hybrid,0.52382353,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.39527462,0.30421168,0.64666667,0.55494221,0.42162949,0.69416667,0.23355631,0.16604239,0.45416667,0.57217630,0.42109900,0.70750000,0.76049744,0.98127274,0.96161616,1.20163249,1.53267705,1.90545112,0.71437482,0.93383797,0.70680521,0.86333123
diagonal_matched_separate_hybrid,0.49588235,0.36166667,0.68083333,10.00000000,160.00000000,1200.00000000,0.36826410,0.27786983,0.63416667,0.55494221,0.42162949,0.69416667,0.18009189,0.12833750,0.52083333,0.57217630,0.42109900,0.70750000,0.78345564,1.00736396,0.96161616,1.20163249,1.55592893,1.91120805,0.71437482,0.93383797,0.72338178,0.87878954
diagonal_mismatch_shift1_separate_hybrid,0.52911765,0.38500000,0.69250000,10.00000000,160.00000000,1200.00000000,0.42169365,0.31981011,0.65500000,0.55494221,0.42162949,0.69416667,0.24783612,0.16958374,0.49583333,0.57217630,0.42109900,0.70750000,0.75405955,0.96835587,0.96161616,1.20163249,1.51205169,1.88853454,0.71437482,0.93383797,0.70879427,0.86173068
diagonal_mismatch_shift2_separate_hybrid,0.52147059,0.37666667,0.68833333,10.00000000,160.00000000,1200.00000000,0.43350752,0.32833706,0.65916667,0.55494221,0.42162949,0.69416667,0.25038493,0.17743747,0.46750000,0.57217630,0.42109900,0.70750000,0.75704847,0.97452623,0.96161616,1.20163249,1.51523548,1.88585100,0.71437482,0.93383797,0.70690453,0.86245331
diagonal_mismatch_shift3_separate_hybrid,0.51352941,0.36666667,0.68333333,10.00000000,160.00000000,1200.00000000,0.39343076,0.29633702,0.64333333,0.55494221,0.42162949,0.69416667,0.23987611,0.16417995,0.50250000,0.57217630,0.42109900,0.70750000,0.74670534,0.96995654,0.96161616,1.20163249,1.52530315,1.89954374,0.71437482,0.93383797,0.70361402,0.85836430
diagonal_mismatch_shift4_separate_hybrid,0.51941176,0.37833333,0.68916667,10.00000000,160.00000000,1200.00000000,0.40050811,0.30644273,0.64833333,0.55494221,0.42162949,0.69416667,0.24525981,0.17628736,0.54166667,0.57217630,0.42109900,0.70750000,0.72739974,0.96049255,0.96161616,1.20163249,1.54073394,1.90448288,0.71437482,0.93383797,0.70916790,0.86881060
diagonal_mismatch_shift5_separate_hybrid,0.52058824,0.37833333,0.68916667,10.00000000,160.00000000,1200.00000000,0.42994751,0.32656233,0.65833333,0.55494221,0.42162949,0.69416667,0.16050335,0.11009985,0.47750000,0.57217630,0.42109900,0.70750000,0.72207146,0.94812492,0.96161616,1.20163249,1.55052681,1.90123919,0.71437482,0.93383797,0.70098839,0.85832932
diagonal_mismatched_ensemble_separate_hybrid,0.51941176,0.37833333,0.68916667,10.00000000,160.00000000,1200.00000000,0.41477856,0.31479694,0.65250000,0.55494221,0.42162949,0.69416667,0.22044523,0.15483402,0.53333333,0.57217630,0.42109900,0.70750000,0.73176721,0.95415053,0.96161616,1.20163249,1.52074610,1.89229595,0.71437482,0.93383797,0.70500908,0.86103643
diagonal_shared_a0_hybrid,0.50058824,0.36166667,0.68083333,10.00000000,160.00000000,1200.00000000,0.35325176,0.26620407,0.62833333,0.55494221,0.42162949,0.69416667,0.11358433,0.07020802,0.44916667,0.57217630,0.42109900,0.70750000,0.78309380,1.00286539,0.96161616,1.20163249,1.56972163,1.90928279,0.71437482,0.93383797,0.72558286,0.87837145
fixed_matched_hybrid,0.52264706,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.39961667,0.30806720,0.64916667,0.55494221,0.42162949,0.69416667,0.19222901,0.13217048,0.44083333,0.57217630,0.42109900,0.70750000,0.73955630,0.95962574,0.96161616,1.20163249,1.52532000,1.88912959,0.71437482,0.93383797,0.70606356,0.86111680
ridge_global_structure,0.52264706,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.40314868,0.30974085,0.65000000,0.55494221,0.42162949,0.69416667,0.18741029,0.12794056,0.43916667,0.57217630,0.42109900,0.70750000,0.74022428,0.96038149,0.96161616,1.20163249,1.53332611,1.89170190,0.71437482,0.93383797,0.70793387,0.86267058
