candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,net_correct_pairs,n_questions
diagonal_matched_separate_hybrid,fixed_matched_hybrid,accuracy,-0.01000000,-0.02833333,0.00333333,0.08860000,2,4,-12.00000000,10
diagonal_matched_separate_hybrid,fixed_matched_hybrid,spearman,-0.02676471,-0.07559559,0.00823529,0.09280000,2,3,,10
diagonal_matched_separate_hybrid,fixed_matched_hybrid,kendall,-0.02000000,-0.05666667,0.00666667,0.11900000,2,4,,10
diagonal_matched_separate_hybrid,ridge_global_structure,accuracy,-0.01000000,-0.02916667,0.00333333,0.09360000,2,4,-12.00000000,10
diagonal_matched_separate_hybrid,ridge_global_structure,spearman,-0.02676471,-0.07294853,0.00794118,0.09760000,2,3,,10
diagonal_matched_separate_hybrid,ridge_global_structure,kendall,-0.02000000,-0.05666667,0.00666667,0.11900000,2,4,,10
fixed_matched_hybrid,ridge_global_structure,accuracy,0.00000000,0.00000000,0.00000000,0.00000000,0,10,0.00000000,10
fixed_matched_hybrid,ridge_global_structure,spearman,0.00000000,0.00000000,0.00000000,0.00000000,0,10,,10
fixed_matched_hybrid,ridge_global_structure,kendall,0.00000000,0.00000000,0.00000000,0.00000000,0,10,,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,accuracy,0.00000000,-0.00583333,0.00666667,0.42600000,1,7,0.00000000,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,spearman,-0.00470588,-0.02205882,0.01147059,0.29260000,1,5,,10
diagonal_matched_separate_hybrid,diagonal_shared_a0_hybrid,kendall,0.00000000,-0.01166667,0.01333333,0.48720000,1,7,,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,accuracy,-0.01000000,-0.02916667,0.00666667,0.11740000,2,3,-12.00000000,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,spearman,-0.02794118,-0.07294853,0.01323529,0.10380000,2,2,,10
diagonal_matched_separate_hybrid,diagonal_generic_separate_hybrid,kendall,-0.02000000,-0.05833333,0.01500000,0.15700000,2,3,,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,accuracy,-0.00833333,-0.02583333,0.00333333,0.11200000,2,4,-10.00000000,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,spearman,-0.02352941,-0.06441912,0.00529412,0.07360000,2,3,,10
diagonal_matched_separate_hybrid,diagonal_mismatched_ensemble_separate_hybrid,kendall,-0.01666667,-0.05000000,0.00666667,0.15180000,2,4,,10
