model,spearman,kendall,accuracy,n_questions,n_documents,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability,mae_comprehensiveness,rmse_comprehensiveness,mae_insight,rmse_insight,mae_instruction_following,rmse_instruction_following,mae_readability,rmse_readability,mae,rmse
mean_loqo,,,0.00000000,10.00000000,160.00000000,1200.00000000,,,0.00833333,,,0.02833333,,,0.08416667,,,0.00500000,0.61216363,0.81291161,1.02037613,1.27212761,0.71356589,0.94939885,0.78339748,1.02927645,0.64775783,0.82112541
metadata_ridge_loqo,0.59529412,0.43666667,0.71833333,10.00000000,160.00000000,1200.00000000,0.50887759,0.39196105,0.69083333,0.50134798,0.37127700,0.66916667,0.42785872,0.32127258,0.61250000,0.53935937,0.38264758,0.68833333,0.52993486,0.70424592,0.84987464,1.10224548,0.65908845,0.90692379,0.65796969,0.87548572,0.53005768,0.68349544
odat_affine_loqo,0.80823529,0.65833333,0.82916667,10.00000000,160.00000000,1200.00000000,0.55470731,0.43172185,0.69750000,0.74443435,0.60060295,0.76750000,0.63687728,0.52084699,0.69083333,0.57305825,0.45916441,0.58166667,0.46993196,0.64959499,0.73830177,0.93612413,0.57000852,0.84225723,0.66013122,0.88122395,0.41684073,0.52529246
odat_isotonic_loqo,0.80654640,0.65148317,0.81916667,10.00000000,160.00000000,1200.00000000,0.56017641,0.46215024,0.62000000,0.74639731,0.62163946,0.70916667,0.61875253,0.51846528,0.64416667,0.56014901,0.45089538,0.54500000,0.48657353,0.66103741,0.76576139,0.95971682,0.57283259,0.84684838,0.68479918,0.89813736,0.41111853,0.50488117
odat_multioutput_ridge_loqo,0.80882353,0.65666667,0.82833333,10.00000000,160.00000000,1200.00000000,0.58136406,0.44690583,0.71833333,0.73737860,0.56808460,0.76583333,0.57859731,0.44390556,0.66916667,0.54979652,0.40935555,0.70166667,0.47554578,0.63549868,0.77507533,0.96219357,0.58631827,0.84433343,0.65199746,0.86336516,0.42603723,0.53228495
odat_raw,0.80823529,0.65833333,0.82916667,10.00000000,160.00000000,1200.00000000,0.55470731,0.43172185,0.69750000,0.74443435,0.60060295,0.76750000,0.63687728,0.52084699,0.69083333,0.57305825,0.45916441,0.58166667,1.39629375,1.76785327,2.22385625,2.61429908,0.92286875,1.49696509,0.81360000,1.06333159,1.29190637,1.57018860
random_split_surface_ridge,0.35205882,0.24333333,0.62166667,10.00000000,160.00000000,1200.00000000,0.21525291,0.15259614,0.57166667,0.38193182,0.27002177,0.61916667,-0.13255927,-0.10214303,0.41000000,0.50229165,0.34757035,0.67083333,0.58786586,0.79365088,0.91376312,1.19992776,0.74120480,0.98448894,0.69552815,0.89123542,0.59415165,0.78380525
surface_metadata_ridge_loqo,0.57558824,0.43000000,0.71500000,10.00000000,160.00000000,1200.00000000,0.42546501,0.32350130,0.65666667,0.48185638,0.35133367,0.65916667,0.33165514,0.23129148,0.56833333,0.55040762,0.39104354,0.69250000,0.59469854,0.81829187,0.93300279,1.21669609,0.76847255,1.03885908,0.69558875,0.90974574,0.59855025,0.77756248
surface_ridge_loqo,0.45470588,0.33500000,0.66750000,10.00000000,160.00000000,1200.00000000,0.28768265,0.21796983,0.60416667,0.46889913,0.34774956,0.65750000,-0.04883439,-0.03609032,0.43750000,0.55924121,0.39275921,0.69333333,0.59985401,0.78465853,0.90851560,1.16031016,0.81793354,1.08427524,0.69918504,0.90919286,0.59577113,0.75787004
