model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
metadata_ridge_loqo,18,16,0.37647059,0.25000000,0.62500000,75,120,0.18101550,0.10878756,0.55000000,0.32058824,0.20000000,0.60000000,0.34218438,0.24474535,0.60833333,0.31052253,0.17573376,0.58333333
surface_metadata_ridge_loqo,1,16,0.48235294,0.33333333,0.66666667,80,120,0.10588235,0.10000000,0.55000000,0.54117647,0.40000000,0.70000000,0.58162542,0.41403934,0.66666667,0.50588235,0.30000000,0.65000000
surface_metadata_ridge_loqo,2,16,0.83235294,0.66666667,0.83333333,100,120,0.68823529,0.46666667,0.73333333,0.53823529,0.38333333,0.69166667,0.60369152,0.42374403,0.69166667,0.50000000,0.33333333,0.66666667
surface_metadata_ridge_loqo,3,16,0.71764706,0.55000000,0.77500000,93,120,0.31788088,0.22594340,0.60833333,0.60044166,0.44351853,0.71666667,0.33186096,0.15389675,0.55000000,0.62840341,0.46025507,0.72500000
surface_metadata_ridge_loqo,4,16,0.77058824,0.56666667,0.78333333,94,120,0.51764706,0.36666667,0.68333333,0.70345862,0.49372817,0.74166667,0.35615679,0.26606624,0.53333333,0.64948524,0.43699022,0.70833333
surface_metadata_ridge_loqo,5,16,0.37941176,0.28333333,0.64166667,77,120,0.41942616,0.30962614,0.65000000,0.09666029,0.06963106,0.49166667,0.64012078,0.46417221,0.71666667,0.31470588,0.21666667,0.60833333
surface_metadata_ridge_loqo,6,16,0.55588235,0.41666667,0.70833333,85,120,0.49117647,0.40000000,0.70000000,0.45294118,0.36666667,0.68333333,0.31882136,0.22037064,0.59166667,0.67058824,0.51666667,0.75833333
surface_metadata_ridge_loqo,7,16,0.44117647,0.30000000,0.65000000,78,120,0.37407993,0.28572437,0.63333333,0.35227805,0.20889319,0.55833333,0.07982825,0.06422289,0.44166667,0.61663004,0.44351853,0.71666667
surface_metadata_ridge_loqo,16,16,0.60000000,0.46666667,0.73333333,88,120,0.38410606,0.29288959,0.64166667,0.69219515,0.50421948,0.74166667,0.01087413,0.02891575,0.38333333,0.62058824,0.48333333,0.74166667
surface_metadata_ridge_loqo,17,16,0.79411765,0.60000000,0.80000000,96,120,0.87233066,0.72891827,0.84166667,0.79411831,0.62667956,0.75833333,-0.31734533,-0.23732223,0.36666667,0.69610026,0.51046472,0.75000000
surface_metadata_ridge_loqo,18,16,0.18235294,0.11666667,0.55833333,67,120,0.08388523,0.05857792,0.52500000,0.04705882,0.01666667,0.50833333,0.71091755,0.51480918,0.74166667,0.30169250,0.20920685,0.60000000
random_split_surface_ridge,1,16,0.43823529,0.25000000,0.62500000,75,120,-0.05294118,-0.03333333,0.48333333,0.46470588,0.33333333,0.66666667,-0.25075178,-0.15526475,0.39166667,0.46470588,0.28333333,0.64166667
random_split_surface_ridge,2,16,0.51470588,0.40000000,0.70000000,84,120,0.46176471,0.35000000,0.67500000,0.40000000,0.28333333,0.64166667,0.10324529,0.02531848,0.50000000,0.52058824,0.36666667,0.68333333
random_split_surface_ridge,3,16,0.40882353,0.28333333,0.64166667,77,120,0.10154528,0.05857792,0.52500000,0.51655643,0.34309924,0.66666667,-0.22667289,-0.17099639,0.39166667,0.63134675,0.44351853,0.71666667
random_split_surface_ridge,4,16,0.67058824,0.45000000,0.72500000,87,120,0.37058824,0.21666667,0.60833333,0.64459179,0.42678198,0.70833333,0.08289856,0.02752409,0.42500000,0.56259266,0.42018290,0.70000000
random_split_surface_ridge,5,16,-0.10000000,-0.08333333,0.45833333,55,120,0.02649007,0.07531447,0.53333333,-0.10855694,-0.08703883,0.41666667,0.19469111,0.19410838,0.58333333,0.27058824,0.20000000,0.60000000
random_split_surface_ridge,6,16,0.33529412,0.25000000,0.62500000,75,120,0.16470588,0.10000000,0.55000000,0.36470588,0.26666667,0.63333333,-0.01033217,-0.05085476,0.45833333,0.64411765,0.50000000,0.75000000
random_split_surface_ridge,7,16,0.12058824,0.10000000,0.55000000,66,120,0.00000000,0.00000000,0.49166667,0.31346775,0.20889319,0.55833333,-0.31624267,-0.24771685,0.30000000,0.56512157,0.35983579,0.67500000
random_split_surface_ridge,16,16,0.51470588,0.38333333,0.69166667,83,120,0.27520243,0.17573376,0.58333333,0.62150288,0.43699022,0.70833333,-0.29583440,-0.22841610,0.28333333,0.52058824,0.38333333,0.69166667
random_split_surface_ridge,17,16,0.63529412,0.43333333,0.71666667,86,120,0.55646135,0.44074128,0.70000000,0.55528573,0.50482520,0.70000000,-0.53579701,-0.37293493,0.30000000,0.62546007,0.39330888,0.69166667
random_split_surface_ridge,18,16,-0.01764706,-0.03333333,0.48333333,58,120,0.24871236,0.14226066,0.56666667,0.04705882,-0.01666667,0.49166667,-0.07079677,-0.04219747,0.46666667,0.21780727,0.12552411,0.55833333
odat_raw,1,16,0.84411765,0.71666667,0.85833333,103,120,0.60882353,0.43333333,0.71666667,0.82327041,0.68909996,0.83333333,0.20877248,0.15657503,0.53333333,0.75118531,0.59731911,0.73333333
odat_raw,2,16,0.89705882,0.76666667,0.88333333,106,120,0.79528805,0.62187070,0.80000000,0.92352941,0.76666667,0.88333333,0.73769834,0.58713656,0.75000000,0.67469057,0.47951222,0.62500000
odat_raw,3,16,0.84705882,0.68333333,0.84166667,101,120,0.01487058,-0.00874038,0.45000000,0.80854197,0.65546218,0.81666667,0.56435342,0.48442671,0.69166667,0.87673162,0.76085975,0.75833333
odat_raw,4,16,0.93235294,0.80000000,0.90000000,108,120,0.53363611,0.39329170,0.66666667,0.93883592,0.81857269,0.89166667,0.78545279,0.69156407,0.75833333,0.46838042,0.39595411,0.46666667
odat_raw,5,16,0.60294118,0.40000000,0.70000000,84,120,0.51917461,0.42374403,0.69166667,0.55415740,0.41788097,0.65833333,0.41894904,0.28326441,0.60833333,0.39262088,0.30988989,0.26666667
odat_raw,6,16,0.75294118,0.58333333,0.79166667,95,120,0.52391478,0.42678198,0.70833333,0.58198503,0.41711570,0.68333333,0.76191235,0.62887493,0.76666667,0.36818450,0.23046138,0.44166667
odat_raw,7,16,0.88823529,0.75000000,0.87500000,105,120,0.50519017,0.39661068,0.65833333,0.73196316,0.56812452,0.72500000,0.88723473,0.81204041,0.80833333,0.58736465,0.46291005,0.63333333
