candidate,reference,metric,mean_delta,ci_low,ci_high,probability_delta_gt_zero,positive_questions,tied_questions,net_correct_pairs,n_questions
matched_full_selective,global_structure,accuracy,0.01583333,-0.00500000,0.03916667,0.91380000,6,0,19.00000000,10
matched_full_selective,global_structure,spearman,0.03882353,-0.00352941,0.09294118,0.96220000,6,0,,10
matched_full_selective,global_structure,kendall,0.03166667,-0.01000000,0.08000000,0.92680000,6,0,,10
criterion_only_selective,global_structure,accuracy,0.01166667,-0.00250000,0.03166667,0.90920000,5,2,14.00000000,10
criterion_only_selective,global_structure,spearman,0.03735294,-0.00117647,0.08764706,0.96940000,7,0,,10
criterion_only_selective,global_structure,kendall,0.02333333,-0.00666667,0.06500000,0.90660000,5,2,,10
fixed_dimension_selective,global_structure,accuracy,0.01083333,-0.00583333,0.03083333,0.86640000,5,2,13.00000000,10
fixed_dimension_selective,global_structure,spearman,0.03294118,0.00382353,0.07411765,0.99220000,7,0,,10
fixed_dimension_selective,global_structure,kendall,0.02166667,-0.01166667,0.06166667,0.87060000,5,2,,10
nested_query_selective,global_structure,accuracy,0.01333333,-0.00583333,0.03500000,0.89140000,5,2,16.00000000,10
nested_query_selective,global_structure,spearman,0.03647059,0.00087500,0.08500000,0.97780000,6,0,,10
nested_query_selective,global_structure,kendall,0.02666667,-0.01000000,0.07166667,0.90400000,5,2,,10
fixed_dimension_selective,matched_full_selective,accuracy,-0.00500000,-0.01750000,0.00750000,0.20320000,3,3,-6.00000000,10
fixed_dimension_selective,matched_full_selective,spearman,-0.00588235,-0.02529412,0.01558824,0.27620000,4,1,,10
fixed_dimension_selective,matched_full_selective,kendall,-0.01000000,-0.03500000,0.01500000,0.21020000,3,3,,10
nested_query_selective,fixed_dimension_selective,accuracy,0.00250000,-0.00166667,0.00750000,0.79340000,2,7,3.00000000,10
nested_query_selective,fixed_dimension_selective,spearman,0.00352941,-0.00764706,0.01529412,0.69900000,2,7,,10
nested_query_selective,fixed_dimension_selective,kendall,0.00500000,-0.00333333,0.01500000,0.87180000,2,7,,10
nested_query_selective,matched_full_selective,accuracy,-0.00250000,-0.01500000,0.01000000,0.32120000,3,2,-3.00000000,10
nested_query_selective,matched_full_selective,spearman,-0.00235294,-0.02470588,0.02235294,0.40080000,4,1,,10
nested_query_selective,matched_full_selective,kendall,-0.00500000,-0.03000000,0.02166667,0.36000000,3,2,,10
