model,reportId,n_documents,spearman,kendall,accuracy,pair_correct,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability
global_structure,1,16,0.58529412,0.41666667,0.70833333,85,120,0.51176471,0.38333333,0.69166667,0.67058824,0.53333333,0.76666667,0.02522355,0.00000000,0.46666667,0.56470588,0.36666667,0.68333333
global_structure,2,16,0.56176471,0.41666667,0.70833333,85,120,0.78823529,0.63333333,0.81666667,0.53235294,0.41666667,0.70833333,0.43952994,0.29538232,0.63333333,0.66764706,0.55000000,0.77500000
global_structure,3,16,0.30588235,0.20000000,0.60000000,72,120,0.05739516,0.10878756,0.55000000,0.67991188,0.54393782,0.76666667,-0.01037829,-0.00858567,0.46666667,0.64164844,0.47699162,0.73333333
global_structure,4,16,0.62941176,0.45000000,0.72500000,87,120,0.35588235,0.23333333,0.61666667,0.78587218,0.62762056,0.80833333,0.53423519,0.41286141,0.60000000,0.47717283,0.35295364,0.66666667
global_structure,5,16,0.05294118,0.03333333,0.51666667,62,120,0.11920533,0.09205101,0.54166667,0.05204785,0.01740777,0.46666667,,,0.02500000,0.17352941,0.10000000,0.55000000
global_structure,6,16,0.60588235,0.41666667,0.70833333,85,120,0.33529412,0.25000000,0.62500000,0.54411765,0.40000000,0.70000000,-0.18404478,-0.15759377,0.12500000,0.63235294,0.51666667,0.75833333
global_structure,7,16,0.59117647,0.38333333,0.69166667,83,120,0.46686354,0.33614632,0.65833333,0.48363596,0.34815531,0.62500000,0.66932915,0.48625900,0.63333333,0.64312012,0.46025507,0.72500000
global_structure,16,16,0.58823529,0.43333333,0.71666667,86,120,0.37380437,0.29288959,0.64166667,0.54786510,0.38656827,0.68333333,-0.65052591,-0.49490154,0.16666667,0.56470588,0.40000000,0.70000000
global_structure,17,16,0.92058824,0.78333333,0.89166667,107,120,0.57712570,0.47464445,0.71666667,0.80008912,0.60927180,0.75000000,0.65978309,0.45769286,0.70833333,0.81236225,0.62762056,0.80833333
global_structure,18,16,0.38529412,0.28333333,0.64166667,77,120,0.44591624,0.29288959,0.64166667,0.45294118,0.33333333,0.66666667,0.20354071,0.16035040,0.56666667,0.54451818,0.35983579,0.67500000
