model,spearman,kendall,accuracy,n_questions,n_documents,pair_total,spearman_comprehensiveness,kendall_comprehensiveness,accuracy_comprehensiveness,spearman_insight,kendall_insight,accuracy_insight,spearman_instruction_following,kendall_instruction_following,accuracy_instruction_following,spearman_readability,kendall_readability,accuracy_readability,mae_comprehensiveness,rmse_comprehensiveness,mae_insight,rmse_insight,mae_instruction_following,rmse_instruction_following,mae_readability,rmse_readability,mae,rmse
criterion_only_selective,0.56000000,0.40500000,0.70250000,10.00000000,160.00000000,1200.00000000,0.43894839,0.33666331,0.66333333,0.55494221,0.42162949,0.69416667,0.29309188,0.21822670,0.51000000,0.57217630,0.42109900,0.70750000,0.65761156,0.91266182,0.96161613,1.20163247,1.39045211,1.77746902,0.71437482,0.93383797,0.68001124,0.83745455
fixed_dimension_selective,0.55558824,0.40333333,0.70166667,10.00000000,160.00000000,1200.00000000,0.43894839,0.33666331,0.66333333,0.55494221,0.42162949,0.69416667,0.31633854,0.24596326,0.49666667,0.57217630,0.42109900,0.70750000,0.65761156,0.91266182,0.96161613,1.20163247,0.92118221,1.17881944,0.71437482,0.93383797,0.59975685,0.76424682
global_structure,0.52264706,0.38166667,0.69083333,10.00000000,160.00000000,1200.00000000,0.40314868,0.30974085,0.65000000,0.55494221,0.42162949,0.69416667,0.18741029,0.12794056,0.43916667,0.57217630,0.42109900,0.70750000,0.74022430,0.96038150,0.96161613,1.20163247,1.53332610,1.89170189,0.71437482,0.93383797,0.70793387,0.86267058
matched_full_selective,0.56147059,0.41333333,0.70666667,10.00000000,160.00000000,1200.00000000,0.41951816,0.31489539,0.65250000,0.55494221,0.42162949,0.69416667,0.31633854,0.24596326,0.49666667,0.57217630,0.42109900,0.70750000,0.62385753,0.81565655,0.96161613,1.20163247,0.92118221,1.17881944,0.71437482,0.93383797,0.61525495,0.76678426
nested_query_selective,0.55911765,0.40833333,0.70416667,10.00000000,160.00000000,1200.00000000,0.43894839,0.33666331,0.66333333,0.55494221,0.42162949,0.69416667,0.22959605,0.17840904,0.43833333,0.57217630,0.42109900,0.70750000,0.65761156,0.91266182,0.96161613,1.20163247,1.05629283,1.37369694,0.71437482,0.93383797,0.62849506,0.79911925
